,Title,Published_date,Views,Likes,Comments,Month
0,So You Think You Can ANALYZE? (Data Content Creator Hackathon),2024-09-21,41086,1473,98,Sep
1,Moving On,2024-04-22,11574,490,91,Apr
2,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,4117,90,25,Nov
3,A Data Dream Come True,2023-11-17,2558,97,23,Nov
4,The Death of the Full-Time Job,2023-09-22,6589,423,78,Sep
5,How to Survive a Down Data Job Market,2023-09-05,17924,598,63,Sep
6,The Harsh Reality of the Data Job Market,2023-08-24,109342,2619,289,Aug
7,7 Industries AI will Aggressively Disrupt,2023-08-14,6815,258,42,Aug
8,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4652,136,48,Aug
9,7 Enticing Jobs AI Will Create,2023-07-24,4935,202,37,Jul
10,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4289,146,31,Jul
11,Exciting Announcement!,2023-06-23,6735,295,50,Jun
12,AI: A Customer Service Revolution?,2023-05-26,4136,126,35,May
13,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,71340,2151,63,May
14,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,36567,1495,77,May
15,This AI question will determine our future,2023-04-06,4373,259,38,Apr
16,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71679,834,78,Apr
17,Your current portfolio is actually hurting you #shorts,2023-03-30,9455,536,7,Mar
18,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,8191,439,3,Mar
19,you're job searching wrong. #shorts,2023-03-23,4647,270,3,Mar
20,The Economics of Data Roles #shorts,2023-03-21,10959,645,13,Mar
21,Why your phone knows everything you say #shorts,2023-03-18,3946,183,8,Mar
22,Read these for a successful career. #shorts,2023-03-16,3322,254,2,Mar
23,Is Your Phone Actually Listening to You? #shorts,2023-03-09,3302,57,5,Mar
24,How I Realized I Was a Bad Manager #shorts,2023-03-07,3239,143,1,Mar
25,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,21152,776,49,Mar
26,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,9150,289,12,Mar
27,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2905,175,2,Feb
28,Learning On the companies dime #shorts,2023-02-24,3314,177,1,Feb
29,The Best Way to Transition to Data Science? #shorts,2023-02-21,4819,293,6,Feb
30,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7457,410,6,Feb
31,Don't Go into Data for the Money #shorts,2023-02-15,3882,219,12,Feb
32,First Data Science Project? Watch This.,2023-02-13,8376,387,24,Feb
33,How to Approach Applying for a Data Role #shorts,2023-02-08,3746,246,7,Feb
34,The Hard Reality of Data Science Work #shorts,2023-02-06,18084,935,16,Feb
35,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5216,201,6,Feb
36,These 3 Things Make Data Science Special #shorts,2023-02-01,4520,354,7,Feb
37,Will Data Science Be Automated? #shorts,2023-01-27,10676,438,10,Jan
38,Is Data Science A Good Fit For You? #shorts,2023-01-25,5466,301,10,Jan
